address,price,contract_price,contract_date,type,zoning,land_area,building_area,floor_area,floor_plan,construction_year
旭川市東光9条8丁目39番54,14000000,11600000,2026/3/21,既存住宅,宅地 / 第１種低層住居専用地域,283.19,,74.52,5部屋 - ５ＬＤＫ,2000.0
旭川市東3条5丁目2-18,12500000,11000000,2026/3/17,既存住宅,宅地 / 第１種住居地域,543.82,,128.79,4部屋 - ４ＬＤＫ,1980.0
旭川市永山1条7丁目1番12号,3200000,3200000,2026/3/14,既存住宅,宅地 / 準工業地域,160.01,,86.76,5部屋 - ４ＬＤＫ,1984.0
旭川市6条西4丁目1番1号,5400000,4400000,2026/3/13,既存住宅,宅地 / 第２種中高層住居専用地域,218.28,,130.83,4部屋 - ４ＬＤＫ,1981.0
旭川市東光12条2丁目1-14,13990000,13990000,2026/3/15,既存住宅,宅地 / 第２種中高層住居専用地域,208.3,,124.5,5部屋 - ５ＬＤＫ,1990.0
旭川市東光21条9丁目,23500000,22750000,2026/3/14,既存住宅,宅地 / 第１種低層住居専用地域,261.47,,123.19,4部屋 - ４ＬＤＫ,2012.0
旭川市東5条2丁目4-5(37番),29000000,29000000,2026/3/14,既存住宅,宅地 / 第１種住居地域,290.12,,114.61,4部屋 - ４ＳＬＤＫ,2020.0
旭川市豊岡6条8丁目26-111,8000000,5000000,2026/3/13,既存住宅,宅地 / 第１種低層住居専用地域,286.65,,143.16,5部屋 - ４ＬＤＫ,1989.0
旭川市西御料3条2丁目132番(7番1号),19800000,19800000,2026/3/12,既存住宅,宅地 / 第１種低層住居専用地域,244.47,,114.26,4部屋 - ４ＬＤＫ,2002.0
旭川市永山7条3丁目4-22,9990000,9990000,2026/3/12,既存住宅,宅地 / 準工業地域,225.11,,115.96,4部屋 - ４ＳＬＤＫ,1991.0
旭川市東6条9丁目1番8号,22800000,22000000,2026/3/12,既存住宅,宅地 / 第１種住居地域,194.81,,121.09,3部屋 - ３ＬＤＫ,2012.0
